"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Navigate","Quick Hierarchy","Ctrl+T","Editing PHP source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Window","Next Editor","Ctrl+F6","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Run/Debug","Run CLI Application","Shift+Alt+X H","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Navigate","Opens a method in a PHP editor","Shift+Ctrl+M","Editing PHP source"
"Window","Activate Editor","F12","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Format","Shift+Ctrl+F","Editing PHP source"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Script Source","Format","Shift+Ctrl+F","Editing Script Source"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Script Source"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Script Source","Correct &Indentation","Ctrl+I","Editing Script Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Debug PHP Web Application","Shift+Alt+D W","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","DLTK View"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Script Source","Toggle Comment","Ctrl+7","Editing Script Source"
"Views","Documentation","Shift+Alt+Q J","JavaScript View"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Open Declaration","F3","Editing Script Source"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Script Source","Toggle Comment","Shift+Ctrl+C","Editing Script Source"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Project","Rebuild Last Target","F9","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing Script Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Navigate","Open Type Hierarchy","F4","DLTK View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"File","Properties","Alt+Enter","In Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Script Source","Toggle Comment","Ctrl+/","Editing Script Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"File","Save All","Shift+Ctrl+S","In Windows"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","Editing PHP source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Refactor - DLTK","Show Refactor Quick Menu","Shift+Alt+T","Editing Script Source"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"File","Print","Ctrl+P","In Windows"
"Refactor - DLTK","Show Refactor Quick Menu","Shift+Alt+T","DLTK View"
"Edit","Toggle Comment","Ctrl+/","Editing PHP source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing PHP source"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","Editing Script Source"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Run/Debug","Run PHP Web Application","Shift+Alt+X W","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Script Source","Add Javadoc Comment","Shift+Alt+J","Editing Script Source"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Run/Debug","Inspect","Shift+Ctrl+I","Debugging Script"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Debug CLI Application","Shift+Alt+D H","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Navigate","Next","Ctrl+.","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","Editing Script Source"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","DLTK View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Window","Show System Menu","Alt+-","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Project","Make Target Build","Shift+F9","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Navigate","Opens a method in a PHP editor","Shift+Ctrl+M","DLTK View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+K","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Views","JavaScript Declaration","Shift+Alt+Q D","JavaScript View"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"File","New menu","Shift+Alt+N","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Script Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Source","Mark Occurrences","Shift+Alt+O","Editing PHP source"
"File","Rename","F2","In Windows"
